ID,Verb,Variable,NewVal,Comment,Reviewer
N-11506,Update,WeightCarbon,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11559,Update,WeightCarbon,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11603,Update,WeightCarbon,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11638,Update,WeightCarbon,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11639,Update,WeightCarbon,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11669,Update,WeightCarbon,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11506,Update,WeightNitrogen,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11559,Update,WeightNitrogen,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11603,Update,WeightNitrogen,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11638,Update,WeightNitrogen,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11639,Update,WeightNitrogen,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11669,Update,WeightNitrogen,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
