ID,Verb,Variable,NewVal,Comment,Reviewer
N-11506,Flag,WeightCarbon,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11559,Flag,WeightCarbon,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11603,Flag,WeightCarbon,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11638,Flag,WeightCarbon,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11639,Flag,WeightCarbon,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11669,Flag,WeightCarbon,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11506,Flag,WeightNitrogen,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11559,Flag,WeightNitrogen,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11603,Flag,WeightNitrogen,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11638,Flag,WeightNitrogen,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11639,Flag,WeightNitrogen,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
N-11669,Flag,WeightNitrogen,,Sample missing from tote; not weighed/analyzed,Jenny Carlson
