ID,Verb,Variable,NewVal,Comment,Reviewer
CE76_Bio_GB_2018_11-D,Update,GrainMassDry,,grain biomass should not be used,Ian Leslie
CE203_Bio_GB_2018_10-I,Update,GrainMassDry,,grain biomass should not be used,Ian Leslie
CE237_Bio_GB_2018_19-J,Update,GrainMassDry,,grain biomass should not be used,Ian Leslie
CE292_Bio_GB_2018_29-L,Update,CropExists,0,"No sample taken, no crop at location",Ian Leslie
CE299_Bio_GB_2018_11-M,Update,GrainMassDry,,"No NIR moisture data, not able to correct for, do not use grain mass",Ian Leslie
CE378_Bio_GB_2018_19-P,Update,GrainMassDry,,grain biomass should not be used,Ian Leslie
CE423_Bio_GB_2018_19-R,Update,CropExists,0,"No sample taken, no crop at location",Ian Leslie
CW573_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW574_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW575_Bio_GB_2018,Update,GrainMassDry,,grain biomass should not be used,Ian Leslie
CW604_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW619_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW620_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW628_Bio_GB_2018,Update,BiomassDry,,"Total biomass obvious keystroke error, should not be used. ",Ian Leslie
CW634_Bio_GB_2018,Update,GrainMassDry,,grain biomass should not be used,Ian Leslie
CW661_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW662_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
