ID,Verb,Variable,NewVal,Comment,Reviewer
CE14_Bio_GB_2018_19-A,Update,HarvestDate,,[no date but from same date as all others with no date],Ian Leslie
CE70_Bio_GB_2018_5-D,Update,HarvestDate,,,
CE76_Bio_GB_2018_11-D,Update,GrainMassAirDry,,grain biomass should not be used,Ian Leslie
CE203_Bio_GB_2018_10-I,Update,GrainMassAirDry,,grain biomass should not be used,Ian Leslie
CE222_Bio_GB_2018_29-I,Flag,GrainMassAirDry,,baby mouse nest in BI Bag,Bryan Carlson
CE222_Bio_GB_2018_29-I,Flag,BiomassAirDry,,baby mouse nest in BI Bag,Bryan Carlson
CE237_Bio_GB_2018_19-J,Update,GrainMassAirDry,,grain biomass should not be used,Ian Leslie
CE292_Bio_GB_2018_29-L,Update,CropExists,0,"No sample taken, no crop at location",Ian Leslie
CE299_Bio_GB_2018_11-M,Update,GrainMassAirDry,,"No NIR moisture data, not able to correct for, do not use grain mass",Ian Leslie
CE378_Bio_GB_2018_19-P,Update,GrainMassAirDry,,grain biomass should not be used,Ian Leslie
CE423_Bio_GB_2018_19-R,Update,CropExists,0,"No sample taken, no crop at location",Ian Leslie
CW573_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW574_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW575_Bio_GB_2018,Update,GrainMassAirDry,,grain biomass should not be used,Ian Leslie
CW589_Bio_GB_2018,Update,CropExists,0,In Drew Lyon Plot,Bryan Carlson
CW590_Bio_GB_2018,Update,CropExists,0,In Drew Lyon Plot,Bryan Carlson
CW604_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW619_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW620_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW628_Bio_GB_2018,Update,BiomassAirDry,,"Total biomass obvious keystroke error, should not be used. ",Ian Leslie
CW634_Bio_GB_2018,Update,GrainMassAirDry,,grain biomass should not be used,Ian Leslie
CW661_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW662_Bio_GB_2018,Update,CropExists,0,"No sample taken, different crop",Ian Leslie
CW426_Bio_GB_2018,Create,,"{""HarvestYear"":2018,""FieldId"":""CW"",""ID2"":426,""Crop"":""GB"",""SampleId"":""CW426_Bio_GB_2018"",""CropExists"":1}",A decision was made to not collet a sample at this georeference point even though a crop was planted,Bryan Carlson
CW427_Bio_GB_2018,Create,,"{""HarvestYear"":2018,""FieldId"":""CW"",""ID2"":427,""Crop"":""GB"",""SampleId"":""CW427_Bio_GB_2018"",""CropExists"":1}",A decision was made to not collet a sample at this georeference point even though a crop was planted,Bryan Carlson
CW428_Bio_GB_2018,Create,,"{""HarvestYear"":2018,""FieldId"":""CW"",""ID2"":428,""Crop"":""GB"",""SampleId"":""CW428_Bio_GB_2018"",""CropExists"":1}",A decision was made to not collet a sample at this georeference point even though a crop was planted,Bryan Carlson
CW429_Bio_GB_2018,Create,,"{""HarvestYear"":2018,""FieldId"":""CW"",""ID2"":429,""Crop"":""GB"",""SampleId"":""CW429_Bio_GB_2018"",""CropExists"":1}",A decision was made to not collet a sample at this georeference point even though a crop was planted,Bryan Carlson
CW430_Bio_GB_2018,Create,,"{""HarvestYear"":2018,""FieldId"":""CW"",""ID2"":430,""Crop"":""GB"",""SampleId"":""CW430_Bio_GB_2018"",""CropExists"":1}",A decision was made to not collet a sample at this georeference point even though a crop was planted,Bryan Carlson
CW431_Bio_GB_2018,Create,,"{""HarvestYear"":2018,""FieldId"":""CW"",""ID2"":431,""Crop"":""GB"",""SampleId"":""CW431_Bio_GB_2018"",""CropExists"":1}",A decision was made to not collet a sample at this georeference point even though a crop was planted,Bryan Carlson
CW432_Bio_GB_2018,Create,,"{""HarvestYear"":2018,""FieldId"":""CW"",""ID2"":432,""Crop"":""GB"",""SampleId"":""CW432_Bio_GB_2018"",""CropExists"":1}",A decision was made to not collet a sample at this georeference point even though a crop was planted,Bryan Carlson
CW433_Bio_GB_2018,Create,,"{""HarvestYear"":2018,""FieldId"":""CW"",""ID2"":433,""Crop"":""GB"",""SampleId"":""CW433_Bio_GB_2018"",""CropExists"":1}",A decision was made to not collet a sample at this georeference point even though a crop was planted,Bryan Carlson
CW434_Bio_GB_2018,Create,,"{""HarvestYear"":2018,""FieldId"":""CW"",""ID2"":434,""Crop"":""GB"",""SampleId"":""CW434_Bio_GB_2018"",""CropExists"":1}",A decision was made to not collet a sample at this georeference point even though a crop was planted,Bryan Carlson
