ID,Verb,Variable,NewVal,Comment,Reviewer
N-13928,Delete,,,"Duplicated analysis, ignore second measurement",Ian Leslie
N-14112,Delete,,,"Duplicated analysis, ignore second measurement",Ian Leslie
N-14193,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14194,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14195,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14223,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14224,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14225,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14233,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14237,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14248,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14296,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14301,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14318,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14319,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14347,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14350,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14353,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14365,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14367,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
N-14376,Update,Delta13C,,"C peak exceeds maximum detection threshold. Data is only an estimation, not publishable quality! Will require reweigh.",Jenny Carlson
