Instrument,Date_Time,Application,Sample_ID,Customer_ID,Comment,Operator,SubSamples,UsedSubSamples,ProtDM,Outlier,Moisture,Outlier,StarchDM,Outlier,WGlutDM,Outlier
12417169,2022-08-08 09:46:46,WH110907,CE163GP2020SWGr,Huggins,,ARS,5,5,7.6619,0000,9.9028,0000,74.0151,0021,19.3237,0000
12417169,2022-08-08 09:54:51,WH110907,CE164GP2020SWGr,Huggins,,ARS,5,5,9.7282,0000,9.9124,0000,73.9867,0000,26.5400,0000
12417169,2022-08-08 09:56:52,WH110907,CE165GP2020SWGr,Huggins,,ARS,5,5,9.8442,0000,9.9163,0000,74.0370,0001,26.7807,0000
12417169,2022-08-08 09:58:56,WH110907,CE166GP2020SWGr,Huggins,,ARS,5,5,10.2213,0000,9.8441,0000,72.7259,0000,27.7535,0000
12417169,2022-08-08 10:00:29,WH110907,CE167GP2020SWGr,Huggins,,ARS,5,5,10.1399,0000,9.7724,0000,73.2011,0000,27.7522,0000
12417169,2022-08-08 10:02:11,WH110907,CE168GP2020SWGr,Huggins,,ARS,5,5,10.4456,0000,9.8743,0000,71.9447,0000,28.0096,0000
12417169,2022-08-08 10:04:41,WH110907,CE169GP2020SWGr,Huggins,,ARS,5,5,10.6146,0000,9.7512,0000,72.4850,0000,28.8938,0000
12417169,2022-08-08 10:06:06,WH110907,CE170GP2020SWGr,Huggins,,ARS,5,5,11.0814,0000,9.7213,0000,71.5005,0000,30.2512,0000
12417169,2022-08-08 10:08:32,WH110907,CE171GP2020SWGr,Huggins,,ARS,5,5,10.7319,0000,9.8546,0000,71.9482,0000,28.1951,0000
12417169,2022-08-08 10:10:24,WH110907,CE172GP2020SWGr,Huggins,,ARS,5,5,11.4010,0000,9.5402,0000,71.3263,0000,30.5070,0000
12417169,2022-08-08 10:11:39,WH110907,CE173GP2020SWGr,Huggins,,ARS,5,5,9.1347,0000,9.8952,0000,73.3075,0000,24.0843,0000
12417169,2022-08-08 10:13:07,WH110907,CE174GP2020SWGr,Huggins,,ARS,5,5,10.0488,0000,10.1293,0000,72.4775,0000,26.6274,0000
12417169,2022-08-08 10:14:49,WH110907,CE175GP2020SWGr,Huggins,,ARS,5,5,10.4169,0000,9.6888,0000,73.5069,0000,28.2587,0000
12417169,2022-08-08 10:56:38,WH110907,CE180GP2020SWGr,Huggins,,ARS,5,5,8.0881,0000,10.2240,0000,73.5334,0000,20.3514,0000
12417169,2022-08-08 10:58:11,WH110907,CE188GP2020SWGr,Huggins,,ARS,5,5,7.0648,0001,10.1199,0000,75.0330,0002,16.9797,0000
12417169,2022-08-08 11:00:07,WH110907,CE186GP2020SWGr,Huggins,,ARS,5,5,8.5098,0000,10.0674,0000,74.4880,0001,22.4900,0000
12417169,2022-08-08 11:01:41,WH110907,CE182GP2020SWGr,Huggins,,ARS,5,5,8.6147,0000,10.0712,0000,74.1948,0000,22.7668,0000
12417169,2022-08-08 11:03:36,WH110907,CE179GP2020SWGr,Huggins,,ARS,5,5,9.4575,0000,10.2203,0000,73.7896,0000,25.2166,0000
12417169,2022-08-08 11:05:07,WH110907,CE187GP2020SWGr,Huggins,,ARS,5,5,8.3757,0000,9.9039,0000,74.7718,0001,21.9201,0000
12417169,2022-08-08 11:06:39,WH110907,CE183GP2020SWGr,Huggins,,ARS,5,5,8.6148,0000,9.9219,0000,74.4748,0000,22.7999,0000
12417169,2022-08-08 11:08:08,WH110907,CE177GP2020SWGr,Huggins,,ARS,5,5,9.4861,0000,10.2528,0000,73.2319,0000,25.5738,0000
12417169,2022-08-08 11:09:33,WH110907,CE181GP2020SWGr,Huggins,,ARS,5,5,7.9129,0000,10.2957,0000,73.7980,0000,20.3331,0000
12417169,2022-08-08 11:11:07,WH110907,CE185GP2020SWGr,Huggins,,ARS,5,5,8.1420,0000,10.0429,0000,74.8345,0001,20.8290,0000
12417169,2022-08-08 11:12:52,WH110907,CE176GP2020SWGr,Huggins,,ARS,5,5,10.7864,0000,10.2750,0000,70.8806,0010,28.6669,0010
12417169,2022-08-08 11:14:26,WH110907,CE184GP2020SWGr,Huggins,,ARS,5,5,7.4512,0000,10.0144,0000,75.1456,0002,18.1232,0000
12417169,2022-08-08 11:16:09,WH110907,CE189GP2020SWGr,Huggins,,ARS,5,5,8.3790,0000,10.1894,0000,74.8195,0001,22.0641,0000
12417169,2022-08-08 11:17:46,WH110907,CE178GP2020SWGr,Huggins,,ARS,5,5,9.4855,0000,10.1061,0000,73.4478,0000,24.9044,0000
12417169,2022-08-08 11:28:44,WH110907,CE192GP2020SWGr,Huggins,,ARS,5,5,9.5617,0000,9.9072,0000,74.1433,0000,25.7887,0000
12417169,2022-08-08 11:30:50,WH110907,CE200GP2020SWGr,Huggins,,ARS,5,5,7.8755,0000,10.2127,0000,73.8192,0000,19.8686,0000
12417169,2022-08-08 11:32:14,WH110907,CE195GP2020SWGr,Huggins,,ARS,5,5,10.0002,0000,9.8360,0000,73.8055,0000,26.7350,0000
12417169,2022-08-08 11:33:56,WH110907,CE194GP2020SWGr,Huggins,,ARS,5,5,10.2554,0000,9.7895,0000,72.7339,0000,27.7019,0000
12417169,2022-08-08 11:35:31,WH110907,CE193GP2020SWGr,Huggins,,ARS,5,5,10.6958,0000,9.6754,0000,73.0764,0000,28.1612,0000
12417169,2022-08-08 11:36:55,WH110907,CE196GP2020SWGr,Huggins,,ARS,5,5,8.4509,0000,9.7445,0000,75.2275,0002,21.7229,0000
12417169,2022-08-08 11:38:23,WH110907,CE198GP2020SWGr,Huggins,,ARS,5,5,9.6581,0000,9.4591,0000,74.7554,0001,26.0592,0000
12417169,2022-08-08 11:40:03,WH110907,CE199GP2020SWGr,Huggins,,ARS,5,5,9.1248,0000,10.2188,0000,73.8661,0000,24.1833,0000
12417169,2022-08-08 11:41:28,WH110907,CE197GP2020SWGr,Huggins,,ARS,5,5,10.3289,0000,9.5746,0000,72.5604,0000,26.9811,0010
12417169,2022-08-08 11:43:12,WH110907,CE191GP2020SWGr,Huggins,,ARS,5,5,8.9161,0000,10.0963,0000,74.9252,0001,23.9204,0000
12417169,2022-08-08 11:45:02,WH110907,CE190GP2020SWGr,Huggins,,ARS,5,5,8.9107,0000,10.1877,0000,73.6215,0000,24.1024,0000
12417169,2022-08-08 11:46:48,WH110907,CE202GP2020SWGr,Huggins,,ARS,5,5,9.8848,0000,10.5583,0000,72.5602,0000,25.7082,0000
12417169,2022-08-08 11:48:49,WH110907,CE201GP2020SWGr,Huggins,,ARS,5,5,8.2630,0000,10.0959,0000,74.3907,0001,20.8300,0000
12417169,2022-08-08 12:04:23,WH110907,CE203GP2020SWGr,Huggins,,ARS,5,5,9.0830,0000,9.6491,0000,74.4095,0001,24.6221,0000
12417169,2022-08-08 12:05:47,WH110907,CE207GP2020SWGr,Huggins,,ARS,5,5,8.1424,0000,9.6397,0000,76.1145,0003,20.6798,0000
12417169,2022-08-08 12:07:14,WH110907,CE214GP2020SWGr,Huggins,,ARS,5,5,8.0903,0000,9.5800,0000,75.7692,0002,20.5792,0000
12417169,2022-08-08 12:08:34,WH110907,CE215GP2020SWGr,Huggins,,ARS,5,5,8.9764,0000,9.5796,0000,75.6129,0002,23.6945,0000
12417169,2022-08-08 12:09:52,WH110907,CE211GP2020SWGr,Huggins,,ARS,5,5,8.6699,0000,9.5586,0000,75.4900,0002,22.6850,0000
12417169,2022-08-08 12:13:15,WH110907,CE212GP2020SWGr,Huggins,,ARS,5,5,9.2131,0000,9.6057,0000,75.1269,0002,24.6031,0000
12417169,2022-08-08 12:14:38,WH110907,CE213GP2020SWGr,Huggins,,ARS,5,5,9.3010,0000,9.6648,0000,75.1678,0002,24.8713,0000
12417169,2022-08-08 12:16:00,WH110907,CE208GP2020SWGr,Huggins,,ARS,5,5,8.3921,0000,9.7022,0000,75.2495,0002,21.6427,0000
12417169,2022-08-08 12:17:21,WH110907,CE206GP2020SWGr,Huggins,,ARS,5,5,8.8807,0000,9.6613,0000,75.4719,0002,23.3250,0000
12417169,2022-08-08 12:18:58,WH110907,CE205GP2020SWGr,Huggins,,ARS,5,5,9.3856,0000,9.6366,0000,74.2846,0001,24.4466,0000
