ID,Verb,Variable,NewVal,Comment,Reviewer
N-19444,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19445,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19446,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19447,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19448,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19449,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19450,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19451,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19452,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19453,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19454,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19455,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19456,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19457,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19458,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19459,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19460,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19461,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19462,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19463,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19464,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19465,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19466,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19467,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19468,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19469,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19470,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19471,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19472,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19473,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19474,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19475,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19477,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19478,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19479,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19480,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19481,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19482,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19483,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19484,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19485,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19486,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19487,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19488,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19489,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19490,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19491,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19492,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19493,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19494,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19495,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19496,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19497,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19498,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19499,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19500,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19501,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19502,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19503,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-19504,Delete,,,Subset of sample locations were re-analyzed after oven drying to calculate an adjusment factor for non-oven dried samples,Bryan Carlson
N-18788,Update,WeightNitrogen,5.132744716,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18789,Update,WeightNitrogen,5.022949373,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18790,Update,WeightNitrogen,4.759096142,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18791,Update,WeightNitrogen,4.483784417,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18792,Update,WeightNitrogen,4.767512129,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18793,Update,WeightNitrogen,4.474540031,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18794,Update,WeightNitrogen,4.770533655,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18795,Update,WeightNitrogen,4.458946119,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18796,Update,WeightNitrogen,4.597100511,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18797,Update,WeightNitrogen,4.717515646,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18798,Update,WeightNitrogen,4.529096923,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18799,Update,WeightNitrogen,4.204595005,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18800,Update,WeightNitrogen,4.584275764,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18801,Update,WeightNitrogen,4.881618629,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18802,Update,WeightNitrogen,4.479632178,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18803,Update,WeightNitrogen,4.217592769,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18804,Update,WeightNitrogen,4.295733359,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18805,Update,WeightNitrogen,4.820890246,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18806,Update,WeightNitrogen,4.844618965,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18807,Update,WeightNitrogen,4.389073914,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18808,Update,WeightNitrogen,4.226246366,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18809,Update,WeightNitrogen,4.390230878,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18810,Update,WeightNitrogen,4.116799018,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18811,Update,WeightNitrogen,4.646465736,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18812,Update,WeightNitrogen,4.456107945,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18813,Update,WeightNitrogen,4.628599677,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18814,Update,WeightNitrogen,4.441429059,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18815,Update,WeightNitrogen,4.416668586,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18816,Update,WeightNitrogen,4.385962249,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18817,Update,WeightNitrogen,4.491187621,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18818,Update,WeightNitrogen,4.367997259,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18819,Update,WeightNitrogen,4.323078437,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18820,Update,WeightNitrogen,4.262479959,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18821,Update,WeightNitrogen,4.914519699,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18822,Update,WeightNitrogen,4.306567881,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18823,Update,WeightNitrogen,4.448768601,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18824,Update,WeightNitrogen,4.311511366,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18825,Update,WeightNitrogen,4.976250701,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18826,Update,WeightNitrogen,4.753914094,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
N-18827,Update,WeightNitrogen,4.918704981,"Samples were not oven dried following milling, as is typical for other grains. Original value adjusted by a factor of 1.02 to account for moisture. See project drive for details.",Claire Phillips
