Instrument,Date_Time,Application,Sample_ID,Customer_ID,Comment,Operator,SubSamples,UsedSubSamples,ProtDM,Outlier,Moisture,Outlier,StarchDM,Outlier,WGlutDM,Outlier
12417169,2023-01-17 10:25:50,WH110907,CE200GP2022WWGr,Huggins,,ARS,5,5,8.6765,0120,3.6952,0305,69.5214,0500,19.1461,0300
12417169,2023-01-17 10:27:08,WH110907,CE203GP2022WWGr,Huggins,,ARS,5,5,12.0393,0000,4.0202,0204,69.0469,0500,20.5823,0200
12417169,2023-01-17 10:28:21,WH110907,CE205GP2022WWGr,Huggins,,ARS,5,5,9.8621,0000,4.8182,0204,70.8741,0500,19.8336,0200
12417169,2023-01-17 10:29:30,WH110907,CE206GP2022WWGr,Huggins,,ARS,5,5,10.2860,0000,4.3336,0104,71.3573,0500,20.0898,0200
12417169,2023-01-17 10:32:05,WH110907,CE207GP2022WWGr,Huggins,,ARS,5,5,10.5743,0000,4.2083,0204,69.6523,0500,19.9347,0200
12417169,2023-01-17 10:33:18,WH110907,CE208GP2022WWGr,Huggins,,ARS,5,5,9.5137,0000,4.8222,0104,72.1603,0500,19.7997,0100
12417169,2023-01-17 10:34:32,WH110907,CE209GP2022WWGr,Huggins,,ARS,5,5,11.4492,0000,3.3559,0205,69.4755,0500,19.9245,0200
12417169,2023-01-17 10:35:51,WH110907,CE202GP2022WWGr,Huggins,,ARS,5,5,13.1990,0000,3.7928,0105,69.5977,0500,23.2567,0200
12417169,2023-01-17 10:37:23,WH110907,CE204GP2022WWGr,Huggins,,ARS,5,5,10.4024,0000,4.0734,0204,71.8747,0500,20.0703,0200
12417169,2023-01-17 10:38:24,WH110907,CE201GP2022WWGr,Huggins,,ARS,5,5,12.0133,0000,3.4165,0205,69.0119,0500,20.3700,0200
12417169,2023-01-17 11:27:34,WH110907,CE212GP2022WWGr,Huggins,,ARS,5,5,9.2218,0000,5.7080,0103,76.1749,0413,20.3792,0100
12417169,2023-01-17 11:29:10,WH110907,CE219GP2022WWGr,Huggins,,ARS,5,5,11.6539,0000,5.3096,0003,72.9468,0300,23.2186,0100
12417169,2023-01-17 11:30:12,WH110907,CE210GP2022WWGr,Huggins,,ARS,5,5,10.4415,0000,5.4262,0103,72.4859,0300,20.9596,0100
12417169,2023-01-17 11:31:11,WH110907,CE216GP2022WWGr,Huggins,,ARS,5,5,12.1259,0000,5.5974,0003,71.2833,0200,25.2361,0000
12417169,2023-01-17 11:32:13,WH110907,CE213GP2022WWGr,Huggins,,ARS,5,5,11.7667,0000,5.0086,0003,73.4358,0200,22.6710,0100
12417169,2023-01-17 11:33:22,WH110907,CE211GP2022WWGr,Huggins,,ARS,5,5,10.5861,0000,5.5519,0103,74.1574,0301,22.4266,0100
12417169,2023-01-17 11:35:02,WH110907,CE214GP2022WWGr,Huggins,,ARS,5,5,9.8503,0000,5.2485,0103,74.7759,0401,20.6204,0100
12417169,2023-01-17 11:36:15,WH110907,CE215GP2022WWGr,Huggins,,ARS,5,5,12.0200,0000,5.0900,0103,70.8195,0300,25.5650,0100
12417169,2023-01-17 11:38:01,WH110907,CE217GP2022WWGr,Huggins,,ARS,5,5,10.9427,0000,5.2136,0103,72.2541,0400,22.3338,0100
12417169,2023-01-17 11:39:58,WH110907,CE218GP2022WWGr,Huggins,,ARS,5,5,11.4517,0000,5.7683,0003,72.7798,0300,24.5364,0100
12417169,2023-01-17 12:18:45,WH110907,CE226GP2022WWGr,Huggins,,ARS,5,5,11.2438,0000,6.8523,0002,72.9043,0111,26.5053,0000
12417169,2023-01-17 12:23:30,WH110907,CE222GP2022WWGr,Huggins,,ARS,5,5,11.8072,0000,6.7590,0002,72.2629,0100,28.4532,0000
12417169,2023-01-17 12:24:35,WH110907,CE220GP2022WWGr,Huggins,,ARS,5,5,11.8934,0000,7.6294,0000,70.5857,0020,29.6712,0010
12417169,2023-01-17 12:25:33,WH110907,CE229GP2022WWGr,Huggins,,ARS,5,5,9.6388,0000,7.5783,0000,74.3121,0021,22.7697,0000
12417169,2023-01-17 12:26:30,WH110907,CE223GP2022WWGr,Huggins,,ARS,5,5,14.0321,0000,6.2678,0002,65.4889,0100,32.4677,0000
12417169,2023-01-17 12:27:34,WH110907,CE225GP2022WWGr,Huggins,,ARS,5,5,10.6413,0000,6.9539,0002,73.5182,0111,25.2987,0000
12417169,2023-01-17 12:28:35,WH110907,CE227GP2022WWGr,Huggins,,ARS,5,5,11.4020,0000,6.8177,0002,72.6509,0100,25.7003,0000
12417169,2023-01-17 12:30:02,WH110907,CE221GP2022WWGr,Huggins,,ARS,5,5,12.8297,0000,6.7807,0002,70.8130,0100,31.8120,0000
12417169,2023-01-17 12:31:02,WH110907,CE228GP2022WWGr,Huggins,,ARS,5,5,10.6585,0000,6.9806,0002,73.4686,0100,25.8596,0000
12417169,2023-01-17 12:32:00,WH110907,CE224GP2022WWGr,Huggins,,ARS,5,5,13.6081,0000,6.4785,0002,65.7952,0100,31.3394,0000
12417169,2023-01-17 13:50:29,WH110907,CE232GP2022WWGr,Huggins,,ARS,5,5,11.5740,0000,6.2720,0002,72.2308,0100,24.8690,0000
12417169,2023-01-17 13:51:36,WH110907,CE238GP2022WWGr,Huggins,,ARS,5,5,10.9263,0000,6.1670,0002,74.9235,0211,23.5199,0000
12417169,2023-01-17 13:52:34,WH110907,CE235GP2022WWGr,Huggins,,ARS,5,5,13.4140,0000,6.2656,0002,66.0959,0100,29.2447,0000
12417169,2023-01-17 13:53:55,WH110907,CE231GP2022WWGr,Huggins,,ARS,5,5,11.4223,0000,6.4293,0002,73.7802,0101,25.5434,0000
12417169,2023-01-17 13:55:03,WH110907,CE237GP2022WWGr,Huggins,,ARS,5,5,12.3726,0000,6.1080,0002,69.5114,0100,25.6349,0000
12417169,2023-01-17 13:56:37,WH110907,CE236GP2022WWGr,Huggins,,ARS,5,5,10.7181,0000,6.2436,0002,75.3694,0202,22.7296,0000
12417169,2023-01-17 13:57:36,WH110907,CE239GP2022WWGr,Huggins,,ARS,5,5,11.4654,0000,7.4747,0000,74.1928,0001,30.0202,0000
12417169,2023-01-17 13:58:56,WH110907,CE234GP2022WWGr,Huggins,,ARS,5,5,11.2957,0000,7.0651,0001,72.1924,0000,25.8375,0000
12417169,2023-01-17 14:00:01,WH110907,CE230GP2022WWGr,Huggins,,ARS,5,5,9.2763,0000,6.7002,0002,76.6508,0203,20.7569,0000
