Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Leverage Protein0%,Residual Protein0%,Moisture,Leverage Moisture,Residual Moisture,Starch0%,Leverage Starch0%,Residual Starch0%,Gluten0%,Leverage Gluten0%,Residual Gluten0%,Zeleny0%,Leverage Zeleny0%,Residual Zeleny0%,TW
11/6/2023 11:28:07 AM,Field Peas II,60073677 PE,Normal,CW474_GP_2023_WP_Gr,,Infratec,91915904,21.68,0.00,0.00,10.43,0.00,0.00,,,,,,,,,,
11/6/2023 11:30:55 AM,Field Peas II,60073677 PE,Normal,CW471_GP_2023_WP_Gr,,Infratec,91915904,20.81,0.00,0.00,10.79,0.00,0.00,,,,,,,,,,
11/6/2023 11:34:01 AM,Field Peas II,60073677 PE,Normal,CW461_GP_2023_WP_Gr,,Infratec,91915904,21.41,0.00,0.00,10.28,0.00,0.00,,,,,,,,,,
11/6/2023 11:35:58 AM,Field Peas II,60073677 PE,Normal,CW473_GP_2023_WP_Gr,,Infratec,91915904,21.83,0.00,0.00,10.29,0.00,0.00,,,,,,,,,,
11/6/2023 11:38:36 AM,Field Peas II,60073677 PE,Normal,CW479_GP_2023_WP_Gr,,Infratec,91915904,21.13,0.00,0.00,10.64,0.00,0.00,,,,,,,,,,
11/6/2023 11:40:55 AM,Field Peas II,60073677 PE,Normal,CW472_GP_2023_WP_Gr,,Infratec,91915904,21.11,0.00,0.00,10.19,0.00,0.00,,,,,,,,,,
11/6/2023 11:43:19 AM,Field Peas II,60073677 PE,Normal,CW476_GP_2023_WP_Gr,,Infratec,91915904,22.59,0.00,0.00,10.70,0.00,0.00,,,,,,,,,,
11/6/2023 11:45:31 AM,Field Peas II,60073677 PE,Normal,CW469_GP_2023_WP_Gr,,Infratec,91915904,22.53,0.00,0.00,10.50,0.00,0.00,,,,,,,,,,
11/6/2023 11:47:44 AM,Field Peas II,60073677 PE,Normal,CW470_GP_2023_WP_Gr,,Infratec,91915904,21.43,0.00,0.00,10.58,0.00,0.00,,,,,,,,,,
11/6/2023 11:49:54 AM,Field Peas II,60073677 PE,Normal,CW460_GP_2023_WP_Gr,,Infratec,91915904,21.06,0.00,0.00,10.41,0.00,0.00,,,,,,,,,,
11/6/2023 11:51:42 AM,Field Peas II,60073677 PE,Normal,CW468_GP_2023_WP_Gr,,Infratec,91915904,20.82,0.00,0.00,10.30,0.00,0.00,,,,,,,,,,
11/6/2023 11:53:22 AM,Field Peas II,60073677 PE,Normal,CW464_GP_2023_WP_Gr,,Infratec,91915904,21.28,0.00,0.00,10.41,0.00,0.00,,,,,,,,,,
