Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Leverage Protein0%,Residual Protein0%,Moisture,Leverage Moisture,Residual Moisture
11/13/2023 7:22:59 AM,Field Peas II,60073677 PE,Normal,CE261_GP_2023_WP_Gr,,Infratec,91915904,22.35,0.00,0.00,10.76,0.00,0.00
11/13/2023 7:25:00 AM,Field Peas II,60073677 PE,Normal,CE264_GP_2023_WP_Gr,,Infratec,91915904,21.67,0.00,0.00,11.01,0.00,0.00
11/13/2023 7:27:06 AM,Field Peas II,60073677 PE,Normal,CE269_GP_2023_WP_Gr,,Infratec,91915904,,,,,,
11/13/2023 7:31:46 AM,Field Peas II,60073677 PE,Normal,CE269_GP_2023_WP_Gr,,Infratec,91915904,,,,,,
11/13/2023 7:34:07 AM,Field Peas II,60073677 PE,Normal,CE266_GP_2023_WP_Gr,,Infratec,91915904,21.61,0.00,0.00,9.14,0.00,0.00
11/13/2023 7:36:16 AM,Field Peas II,60073677 PE,Normal,CE268_GP_2023_WP_Gr,,Infratec,91915904,23.47,0.00,0.00,9.60,0.00,0.00
11/13/2023 7:43:39 AM,Field Peas II,60073677 PE,Normal,CE265_GP_2023_WP_Gr,,Infratec,91915904,22.93,0.00,0.00,9.98,0.00,0.00
11/13/2023 7:45:56 AM,Field Peas II,60073677 PE,Normal,CE267_GP_2023_WP_Gr,,Infratec,91915904,23.05,0.00,0.00,9.36,0.00,0.00
11/13/2023 7:56:05 AM,Field Peas II,60073677 PE,Normal,CE260_GP_2023_WP_Gr,,Infratec,91915904,21.80,0.00,0.00,10.23,0.00,0.00
11/13/2023 7:58:35 AM,Field Peas II,60073677 PE,Normal,CE258_GP_2023_WP_Gr,,Infratec,91915904,21.30,0.00,0.00,10.47,0.00,0.00
11/13/2023 8:00:02 AM,Field Peas II,60073677 PE,Normal,CE259_GP_2023_WP_Gr,,Infratec,91915904,22.01,0.00,0.00,10.70,0.00,0.00
11/13/2023 8:01:35 AM,Field Peas II,60073677 PE,Normal,CE262_GP_2023_WP_Gr,,Infratec,91915904,20.76,0.00,0.00,10.12,0.00,0.00
11/13/2023 8:03:17 AM,Field Peas II,60073677 PE,Normal,CE263_GP_2023_WP_Gr,,Infratec,91915904,22.21,0.00,0.00,11.11,0.00,0.00
11/13/2023 8:05:06 AM,Field Peas II,60073677 PE,Normal,CE257_GP_2023_WP_Gr,,Infratec,91915904,21.51,0.00,0.00,10.92,0.00,0.00
11/13/2023 8:06:47 AM,Field Peas II,60073677 PE,Normal,CE256_GP_2023_WP_Gr,,Infratec,91915904,21.61,0.00,0.00,10.89,0.00,0.00
11/13/2023 8:08:20 AM,Field Peas II,60073677 PE,Normal,CE253_GP_2023_WP_Gr,,Infratec,91915904,20.97,0.00,0.00,11.12,0.00,0.00
11/13/2023 8:10:47 AM,Field Peas II,60073677 PE,Normal,CE254_GP_2023_WP_Gr,,Infratec,91915904,22.21,0.00,0.00,11.12,0.00,0.00
11/13/2023 8:12:28 AM,Field Peas II,60073677 PE,Normal,CE252_GP_2023_WP_Gr,,Infratec,91915904,21.64,0.00,0.00,10.55,0.00,0.00
11/13/2023 8:14:28 AM,Field Peas II,60073677 PE,Normal,CE255_GP_2023_WP_Gr,,Infratec,91915904,22.01,0.00,0.00,10.44,0.00,0.00
11/13/2023 8:16:20 AM,Field Peas II,60073677 PE,Normal,CE251_GP_2023_WP_Gr,,Infratec,91915904,22.15,0.00,0.00,10.48,0.00,0.00
11/13/2023 8:18:02 AM,Field Peas II,60073677 PE,Normal,CE250_GP_2023_WP_Gr,,Infratec,91915904,22.41,0.00,0.00,10.63,0.00,0.00
11/13/2023 8:19:43 AM,Field Peas II,60073677 PE,Normal,CE280_GP_2023_WP_Gr,,Infratec,91915904,22.01,0.00,0.00,10.69,0.00,0.00
11/13/2023 8:21:30 AM,Field Peas II,60073677 PE,Normal,CE285_GP_2023_WP_Gr,,Infratec,91915904,21.54,0.00,0.00,10.81,0.00,0.00
11/13/2023 8:23:26 AM,Field Peas II,60073677 PE,Normal,CE284_GP_2023_WP_Gr,,Infratec,91915904,22.48,0.00,0.00,10.67,0.00,0.00
11/13/2023 8:25:40 AM,Field Peas II,60073677 PE,Normal,CE289_GP_2023_WP_Gr,,Infratec,91915904,21.58,0.00,0.00,9.35,0.00,0.00
11/13/2023 8:27:53 AM,Field Peas II,60073677 PE,Normal,CE282_GP_2023_WP_Gr,,Infratec,91915904,21.55,0.00,0.00,10.72,0.00,0.00
11/13/2023 8:29:34 AM,Field Peas II,60073677 PE,Normal,CE281_GP_2023_WP_Gr,,Infratec,91915904,21.54,0.00,0.00,10.21,0.00,0.00
11/13/2023 8:31:19 AM,Field Peas II,60073677 PE,Normal,CE288_GP_2023_WP_Gr,,Infratec,91915904,21.42,0.00,0.00,10.06,0.00,0.00
11/13/2023 8:33:16 AM,Field Peas II,60073677 PE,Normal,CE272_GP_2023_WP_Gr,,Infratec,91915904,23.02,0.00,0.00,10.43,0.00,0.00
