Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Standard Deviation Protein0%,Min Protein0%,Max Protein0%,Residual Protein0%,Leverage Protein0%,Ref Protein0%,Moisture,Standard Deviation Moisture,Min Moisture,Max Moisture,Residual Moisture,Leverage Moisture,Ref Moisture,Starch0%,Standard Deviation Starch0%,Min Starch0%,Max Starch0%,Residual Starch0%,Leverage Starch0%,Ref Starch0%,Gluten0%,Standard Deviation Gluten0%,Min Gluten0%,Max Gluten0%,Residual Gluten0%,Leverage Gluten0%,Ref Gluten0%,Zeleny0%,Standard Deviation Zeleny0%,Min Zeleny0%,Max Zeleny0%,Residual Zeleny0%,Leverage Zeleny0%,Ref Zeleny0%,TW,Ref TW
11/9/2023 8:48:57 AM,Beans and Pulses,60073716 FB,Normal,BN822_GP_2023_GB_Gr,,Infratec,91915904,19.13,1.179,18.040,21.572,0.00,0.00,,8.99,0.976,7.439,10.273,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2023 8:50:33 AM,Beans and Pulses,60073716 FB,Normal,BN231_GP_2023_GB_Gr,,Infratec,91915904,19.26,0.563,18.724,20.607,0.00,0.00,,9.85,0.412,9.330,10.557,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2023 8:52:09 AM,Beans and Pulses,60073716 FB,Normal,BN221_GP_2023_GB_Gr,,Infratec,91915904,20.04,0.723,18.699,28.765,0.00,0.00,,9.39,0.535,8.297,9.993,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2023 8:53:53 AM,Beans and Pulses,60073716 FB,Normal,BN11_GP_2023_GB_Gr,,Infratec,91915904,20.46,1.014,19.169,23.533,0.00,0.00,,9.26,1.036,5.902,10.389,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2023 8:55:52 AM,Beans and Pulses,60073716 FB,Normal,BN50_GP_2023_GB_Gr,,Infratec,91915904,19.80,0.997,18.466,21.384,0.00,0.00,,8.96,0.899,6.919,10.078,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2023 8:57:36 AM,Beans and Pulses,60073716 FB,Normal,BN675_GP_2023_GB_Gr,,Infratec,91915904,18.86,1.146,16.917,21.780,0.00,0.00,,8.80,0.488,7.820,9.418,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2023 9:00:22 AM,Beans and Pulses,60073716 FB,Normal,BN82_GP_2023_GB_Gr,,Infratec,91915904,19.91,0.615,19.140,21.011,0.00,0.00,,9.57,0.359,9.198,10.316,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2023 9:03:55 AM,Beans and Pulses,60073716 FB,Normal,BN197_GP_2023_GB_Gr,,Infratec,91915904,20.55,1.142,18.371,29.222,0.00,0.00,,9.25,0.491,8.493,12.779,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2023 9:06:22 AM,Beans and Pulses,60073716 FB,Normal,BN678_GP_2023_GB_Gr,,Infratec,91915904,18.98,1.166,17.729,20.948,0.00,0.00,,8.63,0.555,7.996,9.441,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2023 9:42:09 AM,Beans and Pulses,60073716 FB,Normal,BN666_GP_2023_GB_Gr,,Infratec,91915904,20.49,0.932,19.235,33.661,0.00,0.00,,9.06,0.191,8.791,9.351,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
