ID,Verb,Variable,NewVal,Comment,Reviewer,,
CE17_GP_2023_WP_Bio,Flag,BiomassAirDry,,30% weeds,Bryan Carlson,,
CE17_GP_2023_WP_Bio,Flag,SeedMassAirDry,,30% weeds,Bryan Carlson,,
CE17_GP_2023_WP_Bio,Flag,BiomassAirDry,,30% weeds,Bryan Carlson,,
CE58_GP_2023_WP_Bio,Flag,BiomassAirDry,,20 % prickly lettuce,Bryan Carlson,,
CE65_GP_2023_WP_Bio,Flag,BiomassAirDry,,20% weeds,Bryan Carlson,,
CE67_GP_2023_WP_Bio,Flag,BiomassAirDry,,sparse ,Bryan Carlson,,
CE88_GP_2023_WP_Bio,Flag,BiomassAirDry,,20 % prickly lettuce,Bryan Carlson,,
CE94_GP_2023_WP_Bio,Flag,BiomassAirDry,,sparse crop,Bryan Carlson,,
CE105_GP_2023_WP_Bio,Flag,BiomassAirDry,,Only 1/4 sample taken,Bryan Carlson,,
CE17_GP_2023_WP_Bio,Flag,SeedMassAirDry,,30% weeds,Bryan Carlson,,
CE58_GP_2023_WP_Bio,Flag,SeedMassAirDry,,20 % prickly lettuce,Bryan Carlson,,
CE65_GP_2023_WP_Bio,Flag,SeedMassAirDry,,20% weeds,Bryan Carlson,,
CE67_GP_2023_WP_Bio,Flag,SeedMassAirDry,,sparse ,Bryan Carlson,,
CE88_GP_2023_WP_Bio,Flag,SeedMassAirDry,,20 % prickly lettuce,Bryan Carlson,,
CE94_GP_2023_WP_Bio,Flag,SeedMassAirDry,,sparse crop,Bryan Carlson,,
CE105_GP_2023_WP_Bio,Flag,SeedMassAirDry,,Only 1/4 sample taken,Bryan Carlson,,
CE106_GP_2023_WP_Bio,Update,CropExists,0,No crop at sample location,Bryan Carlson,,
CE107_GP_2023_WP_Bio,Update,CropExists,0,No crop at sample location,Bryan Carlson,,
CE148_GP_2023_WP_Bio,Flag,BiomassAirDry,,50% weeds,Bryan Carlson,,
CE166_GP_2023_WP_Bio,Flag,BiomassAirDry,,Sparse crop,Bryan Carlson,,
CE180_GP_2023_WP_Bio,Flag,BiomassAirDry,,1/2 sample taken,Bryan Carlson,,
CE193_GP_2023_WP_Bio,Flag,BiomassAirDry,,Prickly lettuce,Bryan Carlson,,
CE196_GP_2023_WP_Bio,Flag,BiomassAirDry,,40 % weeds,Bryan Carlson,,
CE148_GP_2023_WP_Bio,Flag,SeedMassAirDry,,50% weeds,Bryan Carlson,,
CE166_GP_2023_WP_Bio,Flag,SeedMassAirDry,,Sparse crop,Bryan Carlson,,
CE180_GP_2023_WP_Bio,Flag,SeedMassAirDry,,1/2 sample taken,Bryan Carlson,,
CE193_GP_2023_WP_Bio,Flag,SeedMassAirDry,,Prickly lettuce,Bryan Carlson,,
CE196_GP_2023_WP_Bio,Flag,SeedMassAirDry,,40 % weeds,Bryan Carlson,,
CE202_GP_2023_WP_Bio,Update,CropExists,0,No crop due to distrubance from flume site construction,Bryan Carlson,,
CE213_GP_2023_WP_Bio,Update,CropExists,0,No crop at sample location,Bryan Carlson,,
CE221_GP_2023_WP_Bio,Flag,BiomassAirDry,,50 % weeds,Bryan Carlson,,
CE245_GP_2023_WP_Bio,Flag,BiomassAirDry,,40% weeds,Bryan Carlson,,
CE246_GP_2023_WP_Bio,Flag,BiomassAirDry,,24% weeds,Bryan Carlson,,
CE247_GP_2023_WP_Bio,Flag,BiomassAirDry,,50 % weeds,Bryan Carlson,,
CE253_GP_2023_WP_Bio,Flag,BiomassAirDry,,"1/4 sample, sparse crop and mayweed",Bryan Carlson,,
CE268_GP_2023_WP_Bio,Flag,BiomassAirDry,,25% weeds,Bryan Carlson,,
CE271_GP_2023_WP_Bio,Flag,BiomassAirDry,,50% weeds,Bryan Carlson,,
CE287_GP_2023_WP_Bio,Flag,BiomassAirDry,,20% weeds,Bryan Carlson,,
CE290_GP_2023_WP_Bio,Flag,BiomassAirDry,,50% weeds,Bryan Carlson,,
CE291_GP_2023_WP_Bio,Flag,BiomassAirDry,,10% weeds,Bryan Carlson,,
CE293_GP_2023_WP_Bio,Flag,BiomassAirDry,,80% weeds,Bryan Carlson,,
CE313_GP_2023_WP_Bio,Flag,BiomassAirDry,,10% weeds,Bryan Carlson,,
CE314_GP_2023_WP_Bio,Flag,BiomassAirDry,,40% weeds,Bryan Carlson,,
CE315_GP_2023_WP_Bio,Flag,BiomassAirDry,,25% weeds,Bryan Carlson,,
CE316_GP_2023_WP_Bio,Flag,BiomassAirDry,,75% weeds,Bryan Carlson,,
CE336_GP_2023_WP_Bio,Flag,BiomassAirDry,,40% Prickly lettuce,Bryan Carlson,,
CE221_GP_2023_WP_Bio,Flag,SeedMassAirDry,,50 % weeds,Bryan Carlson,,
CE245_GP_2023_WP_Bio,Flag,SeedMassAirDry,,40% weeds,Bryan Carlson,,
CE246_GP_2023_WP_Bio,Flag,SeedMassAirDry,,24% weeds,Bryan Carlson,,
CE247_GP_2023_WP_Bio,Flag,SeedMassAirDry,,50 % weeds,Bryan Carlson,,
CE253_GP_2023_WP_Bio,Flag,SeedMassAirDry,,"1/4 sample, sparse crop and mayweed",Bryan Carlson,,
CE268_GP_2023_WP_Bio,Flag,SeedMassAirDry,,25% weeds,Bryan Carlson,,
CE271_GP_2023_WP_Bio,Flag,SeedMassAirDry,,50% weeds,Bryan Carlson,,
CE287_GP_2023_WP_Bio,Flag,SeedMassAirDry,,20% weeds,Bryan Carlson,,
CE290_GP_2023_WP_Bio,Flag,SeedMassAirDry,,50% weeds,Bryan Carlson,,
CE291_GP_2023_WP_Bio,Flag,SeedMassAirDry,,10% weeds,Bryan Carlson,,
CE293_GP_2023_WP_Bio,Flag,SeedMassAirDry,,80% weeds,Bryan Carlson,,
CE313_GP_2023_WP_Bio,Flag,SeedMassAirDry,,10% weeds,Bryan Carlson,,
CE314_GP_2023_WP_Bio,Flag,SeedMassAirDry,,40% weeds,Bryan Carlson,,
CE315_GP_2023_WP_Bio,Flag,SeedMassAirDry,,25% weeds,Bryan Carlson,,
CE316_GP_2023_WP_Bio,Flag,SeedMassAirDry,,75% weeds,Bryan Carlson,,
CE336_GP_2023_WP_Bio,Flag,SeedMassAirDry,,40% Prickly lettuce,Bryan Carlson,,
CE337_GP_2023_WP_Bio,Update,CropExists,0,No crop at sample location,Bryan Carlson,,
CE338_GP_2023_WP_Bio,Flag,SeedMassAirDry,,30% weeds,Bryan Carlson,,
CE359_GP_2023_WP_Bio,Flag,SeedMassAirDry,,30% prickly lettuce,Bryan Carlson,,
CE360_GP_2023_WP_Bio,Flag,SeedMassAirDry,,"60% weeds mayweed, prickly lettuce, italian ryegrass",Bryan Carlson,,
CE381_GP_2023_WP_Bio,Flag,SeedMassAirDry,,90% Mayweed,Bryan Carlson,,
CE424_GP_2023_WP_Bio,Flag,SeedMassAirDry,,"No crop, all may weed.",Bryan Carlson,,
CW436_GP_2023_WP_Bio,Flag,SeedMassAirDry,,"no crop, all may weed. ",Bryan Carlson,,
CW438_GP_2023_WP_Bio,Flag,SeedMassAirDry,,Mostly scouring rush,Bryan Carlson,,
CW440_GP_2023_WP_Bio,Flag,SeedMassAirDry,,"no crop, all prickely lettuce. ",Bryan Carlson,,
CW444_GP_2023_WP_Bio,Flag,SeedMassAirDry,,"No crop, all may weed.",Bryan Carlson,,
