Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Moisture,Standard Deviation Moisture,Min Moisture,Max Moisture,Residual Moisture,Leverage Moisture,Ref Moisture,TW,Ref TW,Oil0%,Standard Deviation Oil0%,Min Oil0%,Max Oil0%,Residual Oil0%,Leverage Oil0%,Ref Oil0%
10/18/2024 2:17:09 PM,Rapeseed I,60073681 RA,Normal,CE257_GP_2024_SC_Gr,,Infratec,91915904,5.33,0.129,5.119,5.575,0,0,,,,45.29,0.403,44.457,45.871,0,0,
10/18/2024 2:18:59 PM,Rapeseed I,60073681 RA,Normal,CE279_GP_2024_SC_Gr,,Infratec,91915904,5.65,0.118,5.495,5.873,0,0,,,,47.6,0.692,46.339,48.56,0,0,
10/18/2024 2:21:04 PM,Rapeseed I,60073681 RA,Normal,CE276_GP_2024_SC_Gr,,Infratec,91915904,5.6,0.161,5.251,5.852,0,0,,,,48.13,0.641,47.163,49.233,0,0,
10/18/2024 2:22:32 PM,Rapeseed I,60073681 RA,Normal,CE286_GP_2024_SC_Gr,,Infratec,91915904,5.94,0.183,5.657,6.256,0,0,,,,50.28,0.701,49.274,51.097,0,0,
10/18/2024 2:24:45 PM,Rapeseed I,60073681 RA,Normal,CE261_GP_2024_SC_Gr,,Infratec,91915904,5.42,0.113,5.304,5.62,0,0,,,,48.55,0.754,47.325,49.846,0,0,
10/18/2024 2:26:33 PM,Rapeseed I,60073681 RA,Normal,CE263_GP_2024_SC_Gr,,Infratec,91915904,5.56,0.161,5.36,5.876,0,0,,,,45.63,0.514,44.849,46.419,0,0,
10/18/2024 2:28:05 PM,Rapeseed I,60073681 RA,Normal,CE256_GP_2024_SC_Gr,,Infratec,91915904,5.81,0.211,5.48,6.172,0,0,,,,47.74,0.721,46.677,49.134,0,0,
10/18/2024 2:30:34 PM,Rapeseed I,60073681 RA,Normal,CE252_GP_2024_SC_Gr,,Infratec,91915904,5.38,0.1,5.251,5.568,0,0,,,,40.64,0.644,39.168,41.484,0,0,
10/18/2024 2:33:42 PM,Rapeseed I,60073681 RA,Normal,CE281_GP_2024_SC_Gr,,Infratec,91915904,5.46,0.181,5.173,5.767,0,0,,,,45.94,0.482,45.105,46.589,0,0,
10/18/2024 2:35:28 PM,Rapeseed I,60073681 RA,Normal,CE278_GP_2024_SC_Gr,,Infratec,91915904,6.04,0.281,5.543,6.473,0,0,,,,46.06,1.036,45.038,48.536,0,0,
