HarvestYear,ID2,SampleId,Crop,Crop_qcApplied,Crop_qcResult,Crop_qcPhrase,BiomassDry,BiomassDry_qcApplied,BiomassDry_qcResult,BiomassDry_qcPhrase,GrainMassDry,GrainMassDry_qcApplied,GrainMassDry_qcResult,GrainMassDry_qcPhrase,GrainMoisture,GrainMoisture_qcApplied,GrainMoisture_qcResult,GrainMoisture_qcPhrase,GrainProtein,GrainProtein_qcApplied,GrainProtein_qcResult,GrainProtein_qcPhrase,GrainStarch,GrainStarch_qcApplied,GrainStarch_qcResult,GrainStarch_qcPhrase,GrainGluten,GrainGluten_qcApplied,GrainGluten_qcResult,GrainGluten_qcPhrase,GrainTestWeight,GrainTestWeight_qcApplied,GrainTestWeight_qcResult,GrainTestWeight_qcPhrase,CropExists,CropExists_qcApplied,CropExists_qcResult,CropExists_qcPhrase,Comments,ResidueNitrogen,ResidueNitrogen_qcPhrase,ResidueNitrogen_qcApplied,ResidueNitrogen_qcResult,ResidueCarbon,ResidueCarbon_qcPhrase,ResidueCarbon_qcApplied,ResidueCarbon_qcResult,GrainNitrogen,GrainNitrogen_qcPhrase,GrainNitrogen_qcApplied,GrainNitrogen_qcResult,GrainCarbon,GrainCarbon_qcPhrase,GrainCarbon_qcApplied,GrainCarbon_qcResult,GrainMass0,GrainMass0_qcApplied,GrainMass0_qcResult,GrainMass0_qcPhrase,GrainMass125,GrainMass125_qcApplied,GrainMass125_qcResult,GrainMass125_qcPhrase,BiomassDryPerArea,BiomassDryPerArea_qcApplied,BiomassDryPerArea_qcResult,BiomassDryPerArea_qcPhrase,GrainYieldDryPerArea,GrainYieldDryPerArea_qcApplied,GrainYieldDryPerArea_qcResult,GrainYieldDryPerArea_qcPhrase,GrainMass0PerArea,GrainMass0PerArea_qcApplied,GrainMass0PerArea_qcResult,GrainMass0PerArea_qcPhrase,GrainMass125PerArea,GrainMass125PerArea_qcApplied,GrainMass125PerArea_qcResult,GrainMass125PerArea_qcPhrase,HarvestIndex,HarvestIndex_qcApplied,HarvestIndex_qcResult,HarvestIndex_qcPhrase
2017,1,CE1_Bio_SW_2017_5-A,SW,000001,000000,,1198.7,000001,000000,,625.3,000001,000000,,3.0,000011,000010,"(Point) Value outside of bounds [7.0, 25.0]",11.7,000011,000000,,69.1,000011,000000,,19.7,000011,000000,,57.5,000011,000000,,1.0,000001,000000,,,0.439046483909416,,000001,000000,44.138057210965435,,000001,000000,,,000001,000000,,,000001,000000,606.5409999999999,000001,000000,,682.358625,000001,000000,,491.5928477690289,000001,000000,,256.43864829396324,000001,000000,,248.7454888451443,000001,000000,,279.8386749507874,000001,000000,,0.5216484524901976,000011,000000,
2017,2,CE2_Bio_SW_2017_6-A,SW,000001,000000,,1949.7,000001,000000,,942.3,000001,000000,,3.8,000011,000010,"(Point) Value outside of bounds [7.0, 25.0]",12.8,000011,000000,,69.2,000011,000000,,21.2,000011,000000,,57.28124999999999,000011,000000,,1.0,000001,000000,,,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,906.4925999999999,000001,000000,,1019.8041749999999,000001,000000,,799.5816929133858,000001,000000,,386.44192913385825,000001,000000,,371.7571358267716,000001,000000,,418.22677780511805,000001,000000,,0.48330512386521,000011,000000,
2017,3,CE3_Bio_SW_2017_7-A,SW,000001,000000,,1413.7,000001,000000,,777.3,000001,000000,,4.4,000011,000010,"(Point) Value outside of bounds [7.0, 25.0]",11.3,000011,000000,,70.4,000011,000000,,20.3,000011,000000,,59,000011,000000,,1.0,000001,000000,,,0.43903181941800384,,000001,000000,43.54695403861844,,000001,000000,,,000001,000000,,,000001,000000,743.0988,000001,000000,,835.98615,000001,000000,,579.7654199475065,000001,000000,,318.77460629921256,000001,000000,,304.74852362204723,000001,000000,,342.84208907480314,000001,000000,,0.549833769540921,000011,000000,
2017,4,CE4_Bio_SW_2017_8-A,SW,000001,000000,,1629.7,000001,000000,,777.3,000001,000000,,1.2,000011,000010,"(Point) Value outside of bounds [7.0, 25.0]",12.5,000011,000000,,68.8,000011,000000,,19.4,000011,000000,,57.4,000011,000000,,1.0,000001,000000,,,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,767.9724,000001,000000,,863.96895,000001,000000,,668.3480971128608,000001,000000,,318.77460629921256,000001,000000,,314.94931102362204,000001,000000,,354.31797490157476,000001,000000,,0.47695894949990797,000011,000000,
2017,5,CE5_Bio_SW_2017_9-A,SW,000001,000000,,1545.7,000001,000000,,740.3,000001,000000,,2.8,000011,000010,"(Point) Value outside of bounds [7.0, 25.0]",12.4,000011,000000,,68.9,000011,000000,,20.2,000011,000000,,58.7,000011,000000,,1.0,000001,000000,,,0.4098877665544332,,000001,000000,44.16830808080808,,000001,000000,,,000001,000000,,,000001,000000,719.5716,000001,000000,,809.51805,000001,000000,,633.899278215223,000001,000000,,303.60072178477685,000001,000000,,295.09990157480314,000001,000000,,331.9873892716535,000001,000000,,0.47894157986672703,000011,000000,
2017,6,CE6_Bio_SW_2017_10-A,SW,000001,000000,,1327.7,000001,000000,,666.3,000001,000000,,3.3,000011,000010,"(Point) Value outside of bounds [7.0, 25.0]",11.7,000011,000000,,69.8,000011,000000,,19.8,000011,000000,,58.7,000011,000000,,1.0,000001,000000,,,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,644.3121,000001,000000,,724.8511125,000001,000000,,544.4963910761155,000001,000000,,273.2529527559055,000001,000000,,264.2356053149606,000001,000000,,297.26505597933067,000001,000000,,0.5018452963771936,000011,000000,
2017,7,CE7_Bio_SW_2017_11-A,SW,000001,000000,,1829.7,000001,000000,,861.3,000001,000000,,4.5,000011,000010,"(Point) Value outside of bounds [7.0, 25.0]",12.1,000011,000000,,72.0,000011,000000,,21.6,000011,000000,,58.7,000011,000000,,1.0,000001,000000,,,0.4165813474551338,,000001,000000,44.24737569873492,,000001,000000,,,000001,000000,,,000001,000000,822.5414999999999,000001,000000,,925.3591875,000001,000000,,750.3690944881889,000001,000000,,353.22342519685037,000001,000000,,337.32837106299206,000001,000000,,379.49441744586613,000001,000000,,0.47073290703394,000011,000000,
2017,8,CE8_Bio_SW_2017_12-A,SW,000001,000000,,1641.7,000001,000000,,814.3,000001,000000,,4.4,000011,000010,"(Point) Value outside of bounds [7.0, 25.0]",11.3,000011,000000,,75.5,000011,000010,"(Point) Value outside of bounds [52.0, 75.0]",20.4,000011,000000,,59,000011,000000,,1.0,000001,000000,,,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,778.4707999999999,000001,000000,,875.77965,000001,000000,,673.2693569553805,000001,000000,,333.9484908136483,000001,000000,,319.2547572178477,000001,000000,,359.1616018700787,000001,000000,,0.4960102332947554,000011,000000,
2017,9,CE9_Bio_SW_2017_13-A,SW,000001,000000,,1416.7,000001,000000,,709.3,000001,000000,,4.0,000011,000010,"(Point) Value outside of bounds [7.0, 25.0]",12.4,000011,000000,,71.0,000011,000000,,20.8,000011,000000,,58.7,000011,000000,,1.0,000001,000000,,,0.4927923053802224,,000001,000000,44.25807333934476,,000001,000000,,,000001,000000,,,000001,000000,680.928,000001,000000,,766.044,000001,000000,,580.9957349081365,000001,000000,,290.887467191601,000001,000000,,279.251968503937,000001,000000,,314.1584645669291,000001,000000,,0.5006705724571185,000011,000000,
2017,10,CE10_Bio_SW_2017_14-A,SW,000001,000000,,1054.7,000001,000000,,531.3,000001,000000,,1.9,000011,000010,"(Point) Value outside of bounds [7.0, 25.0]",13.5,000011,000000,,68.9,000011,000000,,20.2,000011,000000,,56.8,000011,000000,,1.0,000001,000000,,,,,000001,000000,,,000001,000000,,,000001,000000,,,000001,000000,521.2053,000001,000000,,586.3559624999999,000001,000000,,432.53772965879267,000001,000000,,217.88877952755902,000001,000000,,213.7488927165354,000001,000000,,240.4675043061023,000001,000000,,0.5037451407983312,000011,000000,
